event_id,match_id,frame,ball_x,ball_y,distance,angle,pressure,gk_dist,defenders_cone,one_touch,is_header,phase_type,goal
8_103,1886347,4236,28.82,-1.06,23.704,0.3061,1,3.42,1,1,0,finish,0
8_131,1886347,5505,45.76,13.89,15.439,0.2159,1,2.79,1,0,0,finish,0
8_244,1886347,10841,31.09,12.85,24.97,0.2514,0,2.37,1,1,0,finish,0
8_261,1886347,12202,31.33,16.13,26.615,0.2194,0,2.11,1,0,0,finish,0
8_276,1886347,12845,27.21,-8.65,26.728,0.2582,0,2.79,1,0,0,finish,0
8_284,1886347,13909,48.76,3.12,4.871,1.2101,2,1.56,0,1,0,set_play,0
8_32,1886347,1444,40.36,4.77,13.043,0.5158,0,8.61,0,0,0,finish,0
8_323,1886347,16190,40.76,4.65,12.627,0.5318,1,3.57,1,0,0,finish,0
8_468,1886347,23408,39.56,-0.63,12.955,0.5501,0,2.99,0,1,0,quick_break,0
8_519,1886347,26403,36.64,12.19,20.003,0.2916,0,2.83,1,0,0,finish,0
8_545,1886347,27362,34.02,-13.51,22.892,0.259,1,3.27,1,0,0,finish,0
8_632,1886347,31876,47.18,3.63,6.44,0.946,3,1.42,1,1,1,set_play,0
8_659,1886347,33039,42.92,-9.83,13.726,0.3811,2,1.85,0,0,0,finish,0
8_690,1886347,35016,30.57,2.28,22.048,0.3274,1,2.78,1,0,0,set_play,0
8_737,1886347,37748,49.16,6.63,7.424,0.5301,1,2.47,0,1,0,finish,0
8_739,1886347,38151,33.03,10.22,21.989,0.2943,0,2.33,2,0,0,set_play,0
8_786,1886347,43665,40.05,-7.02,14.293,0.4454,0,2.21,0,1,0,set_play,0
8_806,1886347,44461,37.71,-7.52,16.592,0.392,1,2.41,1,0,0,finish,0
8_807,1886347,44492,38.71,13.18,19.076,0.2804,1,2.46,1,1,0,finish,0
8_916,1886347,50600,38.13,-0.72,14.388,0.4977,1,2.29,1,1,0,finish,1
8_937,1886347,53812,36.03,2.32,16.633,0.4295,1,6.92,1,1,0,set_play,1
8_946,1886347,56274,36.98,17.26,23.212,0.213,1,2.67,1,0,0,set_play,0
8_997,1886347,58761,18.41,1.23,34.112,0.2136,1,3.06,0,0,0,finish,0
8_199,1899585,9483,42.24,-16.16,19.142,0.2096,2,2.0,0,1,0,finish,0
8_209,1899585,10438,29.22,3.95,23.613,0.3035,1,1.93,2,0,0,set_play,0
8_236,1899585,11431,34.9,-5.83,18.54,0.3718,1,3.34,1,1,0,finish,0
8_251,1899585,13589,28.46,7.35,25.138,0.2772,1,2.39,1,0,0,finish,0
8_37,1899585,2212,47.54,9.8,10.984,0.3264,1,1.27,1,0,0,set_play,0
8_398,1899585,23258,43.32,15.46,17.98,0.2135,2,1.86,0,0,0,quick_break,0
8_428,1899585,25015,42.25,-8.62,13.393,0.4246,1,2.97,2,1,0,finish,0
8_429,1899585,25059,36.14,6.68,17.671,0.3811,2,2.83,1,0,0,finish,0
8_432,1899585,25563,42.61,-11.67,15.297,0.3171,1,2.75,0,0,0,finish,0
8_450,1899585,26693,24.55,14.7,31.58,0.205,0,3.11,0,0,0,quick_break,0
8_458,1899585,27301,46.01,6.62,9.271,0.5798,1,1.78,0,1,0,finish,0
8_464,1899585,27755,37.82,18.03,23.25,0.2011,0,2.18,1,0,0,finish,0
8_515,1899585,31332,36.5,10.83,19.321,0.3146,1,2.98,1,0,0,transition,0
8_615,1899585,40115,45.03,-1.28,7.579,0.8927,3,1.48,1,1,1,set_play,0
8_678,1899585,43175,37.31,-12.23,19.502,0.2942,0,3.95,1,0,0,finish,0
8_690,1899585,44380,51.84,1.87,1.983,2.6696,1,1.63,0,1,1,set_play,1
8_727,1899585,46489,39.88,10.14,16.189,0.3557,2,1.8,1,0,0,finish,0
8_797,1899585,51899,40.16,9.53,15.592,0.3747,1,6.17,0,1,0,finish,1
8_838,1899585,54368,42.9,6.39,11.532,0.5312,1,2.57,1,1,0,finish,0
8_872,1899585,56027,28.63,0.15,23.87,0.3043,1,3.11,1,0,0,finish,0
8_915,1899585,58263,32.99,-11.25,22.521,0.2815,1,4.07,0,0,0,finish,0
8_927,1899585,59862,42.56,12.17,15.713,0.3021,2,3.15,1,0,0,finish,0
8_1015,1925299,58689,46.98,-4.43,7.078,0.8334,1,1.72,0,1,1,finish,0
8_118,1925299,5657,40.09,-5.02,13.387,0.5012,1,1.98,1,0,0,finish,0
8_295,1925299,14784,42.33,-10.32,14.489,0.3621,1,1.67,2,0,0,finish,0
8_318,1925299,17522,30.97,-9.54,23.549,0.2834,0,2.83,0,0,0,finish,0
8_333,1925299,17972,37.03,-17.06,23.03,0.2156,0,2.01,0,1,0,finish,0
8_354,1925299,20989,38.51,8.87,16.565,0.3739,1,2.65,0,0,0,finish,0
8_491,1925299,27232,43.54,3.46,9.605,0.6938,0,1.9,0,1,0,finish,0
8_540,1925299,30126,30.15,-0.39,22.353,0.3245,1,2.18,1,0,0,finish,0
8_613,1925299,33065,33.27,4.53,19.756,0.3574,1,2.71,1,0,0,finish,0
8_631,1925299,34513,24.13,-9.32,29.862,0.2322,0,3.47,2,0,0,finish,0
8_638,1925299,35025,42.68,-3.11,10.301,0.6595,1,1.13,0,1,0,quick_break,0
8_694,1925299,37528,45.22,-0.86,7.331,0.9228,2,1.62,0,1,1,finish,0
8_706,1925299,38387,29.99,-4.76,23.008,0.3091,2,3.85,0,1,0,finish,0
8_708,1925299,38945,32.0,3.48,20.793,0.3439,2,2.75,2,0,0,finish,0
8_772,1925299,42202,44.4,-0.32,8.106,0.8478,2,1.4,1,1,1,set_play,0
8_800,1925299,44300,47.41,5.37,7.399,0.7334,1,1.71,0,1,0,finish,1
8_814,1925299,46497,41.85,-11.89,15.962,0.3124,0,2.19,0,1,0,finish,0
8_880,1925299,49908,42.96,17.79,20.187,0.1754,1,1.63,0,0,0,quick_break,0
8_978,1925299,56547,37.59,-12.85,19.683,0.2839,0,1.41,1,1,0,set_play,0
8_981,1925299,56786,45.59,6.06,9.191,0.6185,3,1.35,2,1,1,set_play,0
8_986,1925299,57103,41.93,14.85,18.228,0.2381,1,1.88,1,0,0,finish,0
8_384,1953632,17267,47.09,-12.8,13.896,0.2169,1,1.84,0,0,0,finish,0
8_415,1953632,19764,44.16,-0.26,8.344,0.8265,2,1.66,0,1,1,set_play,1
8_452,1953632,23230,29.93,0.52,22.576,0.3214,0,3.6,1,1,0,quick_break,0
8_558,1953632,27825,32.08,-12.1,23.736,0.2654,1,2.93,3,0,0,transition,0
8_655,1953632,34949,27.84,-2.13,24.752,0.2926,0,2.48,2,0,0,set_play,0
8_708,1953632,38682,42.91,-6.51,11.591,0.5259,1,1.91,1,1,0,set_play,0
8_749,1953632,40604,31.04,4.77,21.984,0.3226,1,2.54,0,0,0,quick_break,0
8_756,1953632,42221,48.76,8.28,9.085,0.377,1,1.46,0,1,1,set_play,1
8_772,1953632,43794,34.33,11.61,21.562,0.2865,1,3.6,1,0,0,finish,0
8_805,1953632,45038,32.34,-0.39,20.164,0.3591,2,2.38,1,0,0,finish,0
8_845,1953632,49557,33.94,-6.72,19.739,0.3465,1,1.71,2,1,0,set_play,0
8_848,1953632,49905,40.68,1.66,11.936,0.5905,2,1.48,1,0,0,set_play,0
8_849,1953632,49927,40.67,2.85,12.168,0.5714,0,1.93,2,0,0,set_play,0
8_936,1953632,55326,33.06,4.15,19.878,0.3568,1,2.8,1,0,0,quick_break,0
8_996,1953632,58867,44.79,-1.91,7.943,0.8488,4,1.11,0,1,1,set_play,0
8_1000,1996435,55018,32.74,-13.43,23.892,0.2539,0,2.53,0,0,0,set_play,0
8_1012,1996435,55905,38.24,-0.51,14.269,0.5019,0,2.93,1,1,0,transition,0
8_1025,1996435,56567,41.16,7.32,13.497,0.4571,0,2.4,1,1,0,finish,0
8_1028,1996435,56949,30.17,-10.58,24.71,0.2672,1,3.24,1,0,0,finish,0
8_269,1996435,10060,44.95,-8.87,11.648,0.4245,0,2.33,0,1,0,finish,0
8_331,1996435,13370,40.61,-11.37,16.451,0.3262,1,2.36,1,0,0,transition,0
8_332,1996435,13394,40.33,-11.08,16.458,0.3331,2,2.35,2,0,0,transition,0
8_353,1996435,14547,42.02,-10.4,14.764,0.3587,1,2.36,1,0,0,finish,0
8_355,1996435,14923,29.69,-6.91,23.834,0.2924,0,2.55,1,0,0,finish,0
8_372,1996435,15945,41.19,-10.91,15.714,0.3407,2,2.91,2,0,0,finish,0
8_373,1996435,16293,47.6,9.21,10.432,0.3595,2,0.88,2,1,1,set_play,0
8_383,1996435,16866,37.28,9.19,17.779,0.3527,2,2.71,1,0,0,finish,0
8_407,1996435,18958,41.57,17.49,20.624,0.1918,0,6.53,0,1,0,finish,0
8_460,1996435,21282,41.11,-6.5,13.114,0.484,2,2.94,0,1,0,finish,1
8_475,1996435,22497,33.39,-13.06,23.146,0.2617,0,3.34,0,0,0,quick_break,0
8_477,1996435,22558,45.19,6.72,9.929,0.5608,1,5.11,0,0,0,quick_break,0
8_527,1996435,25350,43.62,-3.19,9.436,0.7099,1,2.6,1,1,0,finish,0
8_560,1996435,27155,47.82,6.6,8.091,0.5819,3,1.69,4,1,0,set_play,0
8_575,1996435,28198,47.52,-4.89,6.979,0.8012,0,3.35,0,1,0,transition,1
8_586,1996435,29481,37.19,6.46,16.617,0.4032,3,2.72,0,0,0,finish,0
8_595,1996435,30349,47.07,-14.26,15.259,0.1792,1,2.38,0,1,0,finish,1
8_616,1996435,31903,29.35,-8.23,24.569,0.2796,0,3.95,0,0,0,finish,0
8_637,1996435,33455,46.45,2.86,6.692,0.9542,3,1.12,1,1,1,set_play,0
8_786,1996435,41405,44.0,-14.12,16.481,0.2364,1,1.91,1,0,0,finish,0
8_850,1996435,45260,47.64,-5.03,6.994,0.7861,1,1.65,0,1,0,finish,0
8_857,1996435,45783,46.65,-0.88,5.916,1.1036,0,2.51,0,1,0,finish,1
8_901,1996435,48723,48.74,12.8,13.341,0.1657,0,4.39,0,0,0,finish,0
8_938,1996435,50763,38.13,9.81,17.399,0.3487,1,2.43,1,0,0,finish,1
8_995,1996435,54294,38.98,-10.03,16.834,0.3513,2,2.73,0,0,0,finish,0
8_18,2006229,689,33.31,-11.18,22.209,0.2848,2,6.58,0,0,0,quick_break,0
8_184,2006229,9435,45.39,-5.36,8.904,0.6686,2,2.91,1,0,0,set_play,0
8_215,2006229,12232,43.03,-4.26,10.384,0.6332,2,2.36,1,1,0,set_play,0
8_306,2006229,17161,37.14,6.73,16.77,0.3975,0,1.27,1,1,0,set_play,0
8_309,2006229,17241,39.09,0.98,13.446,0.5304,4,2.38,1,0,0,set_play,0
8_348,2006229,19453,48.25,7.48,8.603,0.4742,1,1.79,1,1,0,transition,1
8_452,2006229,24327,43.33,11.77,14.921,0.3104,1,6.48,0,0,0,transition,0
8_628,2006229,33000,41.69,2.15,11.022,0.632,1,2.41,0,1,1,transition,0
8_633,2006229,33660,44.98,8.6,11.424,0.4394,1,1.53,0,1,0,finish,0
8_698,2006229,37319,39.08,-7.35,15.301,0.4187,1,8.64,0,0,0,transition,0
8_716,2006229,38122,33.23,8.12,20.911,0.3213,0,2.78,1,1,0,finish,0
8_815,2006229,42897,32.44,5.06,20.688,0.3404,1,3.21,1,1,0,finish,0
8_827,2006229,47565,30.76,3.04,21.952,0.3275,0,1.69,1,1,0,set_play,0
8_877,2006229,49989,38.19,-13.05,19.367,0.2819,0,3.62,0,1,0,finish,0
8_973,2006229,56655,45.73,-6.44,9.344,0.5906,2,1.92,0,1,1,finish,0
8_117,2011166,8230,49.18,2.85,4.375,1.3385,2,1.33,0,1,0,finish,1
8_149,2011166,10473,33.21,-9.49,21.498,0.3048,1,2.37,0,0,0,finish,0
8_16,2011166,2712,41.39,-7.32,13.305,0.4613,2,2.09,2,0,0,finish,0
8_243,2011166,16662,38.85,1.84,13.773,0.5156,0,1.06,2,1,0,set_play,0
8_249,2011166,17025,44.22,2.18,8.562,0.7912,2,1.2,0,1,1,set_play,0
8_295,2011166,21290,40.9,-14.94,18.915,0.2418,1,2.28,0,0,0,quick_break,0
8_306,2011166,22054,40.45,6.27,13.584,0.4759,2,4.32,0,0,0,finish,0
8_307,2011166,22473,40.63,13.64,18.082,0.2703,1,1.49,2,1,0,set_play,0
8_318,2011166,23401,40.95,0.33,11.555,0.6133,2,4.94,0,0,0,finish,0
8_319,2011166,23451,48.29,7.84,8.899,0.438,1,3.29,0,0,0,finish,0
8_329,2011166,24208,33.7,13.09,22.908,0.2629,1,2.53,1,1,0,finish,0
8_386,2011166,29851,57.02,34.36,34.656,0.0279,0,1.24,0,1,1,set_play,1
8_398,2011166,31199,42.92,-10.67,14.34,0.3498,1,2.31,0,0,0,set_play,0
8_412,2011166,41926,34.37,12.41,21.971,0.2756,2,2.15,2,0,0,finish,0
8_426,2011166,42288,40.88,12.3,16.921,0.3021,1,2.35,1,0,0,quick_break,0
8_460,2011166,43836,36.62,3.31,16.221,0.4356,1,4.1,1,0,0,transition,1
8_47,2011166,4156,45.19,9.78,12.21,0.3756,1,2.82,1,0,0,finish,1
8_475,2011166,45480,33.44,-3.88,19.451,0.3652,2,2.64,1,0,0,finish,0
8_511,2011166,49712,38.55,3.61,14.41,0.484,3,2.48,1,0,0,finish,0
8_540,2011166,51371,41.86,15.43,18.743,0.2265,0,0.49,0,1,0,set_play,0
8_554,2011166,52015,36.58,-9.62,18.601,0.337,1,3.39,0,1,1,finish,0
8_58,2011166,5146,34.13,-6.86,19.609,0.3476,1,1.96,0,1,0,finish,0
8_592,2011166,54939,36.69,-14.36,21.358,0.2557,1,1.99,1,0,0,finish,0
8_619,2011166,57379,28.9,-6.72,24.538,0.2854,1,3.04,0,1,0,finish,0
8_62,2011166,5275,42.57,-3.45,10.512,0.6425,0,2.98,1,1,0,transition,0
8_643,2011166,58663,33.95,-7.21,19.902,0.341,0,2.1,0,1,0,transition,1
8_66,2011166,5429,39.38,5.99,14.423,0.4584,1,1.51,1,0,0,finish,0
8_689,2011166,63079,35.83,-19.64,25.761,0.1855,0,1.97,0,0,0,set_play,0
8_735,2011166,65634,37.43,-9.16,17.635,0.355,0,2.17,1,1,0,finish,0
8_749,2011166,67128,44.22,-3.68,9.061,0.7229,4,0.85,0,1,1,set_play,0
8_756,2011166,67667,48.95,6.85,7.715,0.513,1,1.34,0,1,1,finish,0
8_155,2013725,11999,29.67,-16.15,27.965,0.2141,1,2.57,0,0,0,transition,0
8_176,2013725,13729,49.51,2.7,4.029,1.442,2,0.17,0,1,1,set_play,0
8_181,2013725,14234,25.6,10.24,28.783,0.237,1,4.37,0,0,0,finish,0
8_198,2013725,15716,42.09,12.02,15.901,0.3081,1,2.36,0,0,0,set_play,0
8_307,2013725,21697,30.59,10.78,24.418,0.2685,0,1.12,1,1,0,finish,0
8_337,2013725,22515,51.41,-4.2,4.339,0.973,1,0.71,0,1,1,finish,0
8_356,2013725,23907,49.64,13.78,14.074,0.1129,1,6.98,0,0,0,finish,0
8_411,2013725,26316,28.49,-0.33,24.012,0.3025,1,2.42,0,0,0,quick_break,0
8_424,2013725,27109,36.01,12.15,20.483,0.2889,1,1.96,1,0,0,transition,0
8_438,2013725,28523,31.87,10.65,23.217,0.2798,1,1.45,1,0,0,quick_break,0
8_54,2013725,6379,49.58,-4.68,5.516,0.898,0,0.73,0,1,0,transition,1
8_547,2013725,43944,37.43,-7.84,16.987,0.3813,0,2.25,1,1,0,quick_break,0
8_555,2013725,44689,32.73,-11.18,22.712,0.2804,3,3.02,1,0,0,transition,0
8_649,2013725,50606,35.78,2.55,16.913,0.4219,2,1.04,2,1,0,set_play,0
8_664,2013725,51925,42.05,7.68,12.969,0.459,1,1.98,0,0,0,quick_break,0
8_665,2013725,52387,50.78,5.06,5.344,0.6929,2,0.66,0,1,1,set_play,0
8_725,2013725,54916,28.91,-1.52,23.639,0.3066,0,2.13,1,1,0,finish,0
8_771,2013725,56744,32.29,4.11,20.624,0.3448,1,2.22,1,0,0,finish,0
8_788,2013725,57447,37.97,10.84,18.128,0.3254,3,2.65,1,0,0,finish,0
8_867,2013725,61722,44.42,3.7,8.887,0.7338,1,0.51,1,1,1,set_play,0
8_886,2013725,62456,35.96,-7.62,18.211,0.3635,0,3.02,0,0,0,transition,0
8_888,2013725,62552,29.15,-10.15,25.461,0.263,0,1.81,2,0,0,quick_break,0
8_893,2013725,63112,38.47,-8.08,16.19,0.3916,1,2.52,0,1,0,finish,0
8_938,2013725,66663,52.5,1.72,1.72,3.1416,0,0.33,0,1,1,set_play,0
8_950,2013725,67293,34.18,2.79,18.531,0.386,1,1.28,1,0,0,finish,0
8_222,2015213,12915,44.67,-3.83,8.717,0.7415,3,2.62,0,0,0,quick_break,1
8_257,2015213,15183,28.51,-8.15,25.337,0.2724,1,2.67,0,0,0,finish,0
8_258,2015213,15561,48.93,-6.44,7.363,0.5694,1,1.89,0,1,1,set_play,1
8_285,2015213,18109,48.84,11.63,12.192,0.1955,1,0.8,1,1,1,finish,0
8_382,2015213,23431,35.03,-16.19,23.818,0.2269,2,1.86,0,0,0,finish,0
8_424,2015213,24753,40.06,-14.01,18.736,0.2634,1,1.77,1,0,0,finish,0
8_528,2015213,41032,31.18,3.33,21.578,0.3323,1,1.65,1,1,0,finish,0
8_555,2015213,42648,44.45,6.5,10.347,0.5616,0,2.66,0,1,0,quick_break,1
8_569,2015213,43762,27.56,12.42,27.861,0.2349,1,3.36,0,0,0,finish,0
8_586,2015213,44413,47.9,-4.78,6.634,0.833,0,1.65,0,0,0,finish,0
8_635,2015213,48015,34.73,-11.21,21.01,0.295,3,2.14,1,0,0,transition,0
8_656,2015213,49916,37.76,-1.69,14.837,0.481,2,0.77,2,1,0,set_play,0
8_657,2015213,49936,47.68,-2.57,5.462,1.1347,4,1.62,0,0,0,set_play,0
8_659,2015213,50292,44.92,-19.37,20.8,0.1316,1,0.52,1,1,0,set_play,1
8_670,2015213,52222,47.25,4.35,6.818,0.8599,2,0.94,0,1,1,set_play,0
8_713,2015213,54479,32.4,8.57,21.851,0.307,2,1.78,1,0,0,finish,0
8_808,2015213,62526,39.92,-4.13,13.241,0.5171,1,1.76,1,1,0,transition,0
8_853,2015213,65303,39.97,10.11,16.1,0.3571,1,2.32,1,0,0,quick_break,0
8_854,2015213,65724,43.4,3.0,9.582,0.7042,1,0.49,3,1,1,set_play,0
8_855,2015213,65739,44.42,3.93,8.985,0.7207,1,0.9,0,1,0,set_play,0
8_914,2015213,69608,42.42,0.87,10.117,0.6924,2,20.21,0,0,0,transition,1
8_923,2015213,70607,52.07,-1.84,1.89,2.8316,1,1.84,0,1,0,finish,1
8_105,2017461,7069,39.2,13.66,19.065,0.2712,0,2.0,1,0,0,finish,0
8_128,2017461,9335,25.74,14.35,30.365,0.2123,1,2.31,1,0,0,finish,0
8_207,2017461,12878,37.92,15.25,21.098,0.2423,1,1.95,1,0,0,set_play,0
8_208,2017461,12896,35.61,8.88,19.082,0.3389,1,2.34,2,1,0,set_play,0
8_209,2017461,12926,32.88,-4.58,20.147,0.3508,1,2.48,1,1,0,set_play,0
8_211,2017461,13075,41.7,11.02,15.43,0.3383,2,1.94,2,0,0,transition,0
8_219,2017461,13928,29.45,-5.75,23.756,0.2972,1,2.59,2,0,0,finish,0
8_279,2017461,20039,40.32,-10.18,15.874,0.3576,2,2.79,1,1,1,set_play,0
8_281,2017461,20246,27.92,-7.57,25.719,0.2708,1,3.53,0,0,0,quick_break,0
8_285,2017461,20364,42.38,13.48,16.856,0.2671,0,1.58,1,1,0,quick_break,0
8_344,2017461,24286,41.33,8.15,13.827,0.431,1,1.82,1,1,0,transition,0
8_346,2017461,24329,32.85,7.19,20.924,0.3268,0,1.73,0,1,0,finish,0
8_401,2017461,28509,35.78,-3.07,17.0,0.4179,2,1.26,1,0,0,finish,0
8_459,2017461,41674,40.81,6.33,13.294,0.4826,2,3.19,0,0,0,transition,0
8_473,2017461,43897,49.58,-4.98,5.773,0.8203,2,0.65,0,1,1,set_play,0
8_518,2017461,47798,35.74,8.1,18.615,0.3529,1,2.43,2,0,0,finish,0
8_553,2017461,50932,49.77,0.55,2.785,1.8459,2,0.51,0,1,1,finish,1
8_569,2017461,52565,45.1,12.21,14.277,0.2771,0,1.91,0,0,0,quick_break,0
8_663,2017461,58416,38.86,-16.51,21.416,0.2206,1,1.68,0,0,0,transition,0
8_683,2017461,59368,28.1,-4.72,24.852,0.2874,1,2.83,2,0,0,quick_break,0
8_826,2017461,69501,37.08,-6.75,16.833,0.396,1,5.71,0,0,0,transition,0
8_838,2017461,69858,36.32,12.12,20.216,0.2911,1,1.88,2,1,0,finish,0
8_89,2017461,6627,36.09,10.16,19.301,0.3228,1,1.94,1,1,0,finish,0
